issue key,projectCategory,created,priority,summary,description,creator,reporter
ZOOKEEPER-2548,ZooKeeper,2016-09-02T20:23:01.000+0000,Major,zooInspector does not start on Windows,ZooInspector is very usefully tool but seems its windows scripts are not maintained. zooInspector.cmd commands fails with bellow error:{noformat}D:\workspace\ZooInspector>zooInspector.cmdD:\workspace\,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2547,ZooKeeper,2016-09-02T17:16:34.000+0000,Major,IP ACL is not working with NettyServerCnxnFactory,"IP based ACL is not working with NettyServerCnxnFactory.Scenario:1) Configure serverCnxnFactory= org.apache.zookeeper.server.NettyServerCnxnFactory and start ZooKeeper server2) Create a znode  ""/n"" wi",arshad.mohammad,arshad.mohammad
ZOOKEEPER-2546,ZooKeeper,2016-09-02T11:56:03.000+0000,Major,"Started throwing ""Error Path:null Error:KeeperErrorCode = ReconfigInProgress"" error when trying to change the cluster using reconfig and the IO hangged at one node","Started throwing ""Error Path:null Error:KeeperErrorCode = ReconfigInProgress"" error when trying to change the cluster using reconfig and the IO hangged at one node.Steps:-1. Start Zookeeper in cluster",rakeshsingh,rakeshsingh
ZOOKEEPER-2545,ZooKeeper,2016-09-02T06:53:46.000+0000,Major,Keep maintaining the old zoo.cfg.dynamic* files which will keep eating system memory which is getting generated as part of reconfig execution,"Keep maintaining the old zoo.cfg.dynamic* files which will be getting created every time when ""reconfig"" is executedSteps to reproduce:-11. Setup the zookeeper in cluster mode and start2. trying runni",rakeshsingh,rakeshsingh
ZOOKEEPER-2544,ZooKeeper,2016-09-02T05:45:41.000+0000,Minor,""" unary operator expected"" message on the console while trying to get the zookeeper status",root@BLR1000010865:/home/Rakesh/Zookeeper/18_Aug/cluster/zookeeper-3.5.1-alpha/bin# ./zkServer.sh statusZooKeeper JMX enabled by defaultUsing config: /home/Rakesh/Zookeeper/18_Aug/cluster/zookeeper-3.,rakeshsingh,rakeshsingh
ZOOKEEPER-2543,ZooKeeper,2016-09-02T04:37:37.000+0000,Major,Add C API for creating nodes with TTL,"ZOOKEEPER-2169 introduces a new feature for creation nodes with TTL, which is supported by Java client with new Java API. Similar API should be added to C client as well.",hanm,hanm
ZOOKEEPER-2542,ZooKeeper,2016-08-31T17:40:11.000+0000,Blocker,Update NOTICE file with Netty notice in 3.4,"We need to update the NOTICE file in the 3.4 branch as we did for 3.5 and trunk, see ZOOKEEPER-2459.",fpj,fpj
ZOOKEEPER-2541,ZooKeeper,2016-08-30T05:58:24.000+0000,Major,"We can't configure the ""secureClientPort"" in dynamicConfiguration and connect through client","We can't configure the ""secureClientPort"" in dynamicConfiguration and connect through clientSteps to reproduce:-1. Configure the zookeeper in cluster mode with SSL mode2. comment the clientport and se",rakeshsingh,rakeshsingh
ZOOKEEPER-2540,ZooKeeper,2016-08-30T05:16:09.000+0000,Minor,"When start zookeeper server by configuring the server details in dynamic configuration with passing the client port, wrong log info is logged","When start zookeeper server by configuring the server details in dynamic configuration with passing the client port, wrong log info is logged:-Configure the server details as below which contains clie",rakeshsingh,rakeshsingh
ZOOKEEPER-2539,ZooKeeper,2016-08-29T14:09:23.000+0000,Minor,"Throwing nullpointerException when run the command ""config -c"" when client port is mentioned as separate and not like new style","Throwing nullpointerException when run the command ""config -c"" when client port is mentioned as separate and not like new style1. Configure the zookeeper to start in cluster mode like below-clientPort",rakeshsingh,rakeshsingh
ZOOKEEPER-2538,ZooKeeper,2016-08-26T21:15:06.000+0000,Major,Flaky Test: org.apache.zookeeper.server.quorum.Zab1_0Test.testNormalObserverRun,The failure of this test is fairly often. Might relate to ZOOKEEPER-1798.{noformat}org.apache.zookeeper.server.quorum.Zab1_0Test.testNormalObserverRunFailing for the past 1 build (Since Failed#1143 )T,hanm,hanm
ZOOKEEPER-2537,ZooKeeper,2016-08-26T09:08:22.000+0000,Major,"When provide path for ""dataDir"" with heading space, it is taking correct path (by trucating space) for snapshot but zookeeper_server.pid is getting created in root (/) folder","Scenario 1 :-When provide path for ""dataDir"" with heading space, it is taking correct path (by trucating space) for snapshot but zookeeper_server.pid is getting created in root (/) folderSteps to repr",rakeshsingh,rakeshsingh
ZOOKEEPER-2536,ZooKeeper,2016-08-26T08:57:14.000+0000,Major,"When provide path for ""dataDir"" with trailing space, it is taking correct path (by trucating space) for snapshot but creating temporary file with some junk folder name for zookeeper_server.pid","Scenario 1:-When provide path for ""dataDir"" with trailing space, it is taking correct path (by trucating space) for snapshot but creating temporary file with some junk folder name for zookeeper_server",rakeshsingh,rakeshsingh
ZOOKEEPER-2535,ZooKeeper,2016-08-26T06:58:32.000+0000,Major,"zookeeper_server's pid should be created once server is started completely and not before, problem with current approach","zookeeper_server's pid should be created once server is started completely and not before, problem with current approach :-Scenario:-1. Configure below in zoo.cfgdataDir=/home/Rakesh/Zookeeper/18_Aug/",rakeshsingh,rakeshsingh
ZOOKEEPER-2534,ZooKeeper,2016-08-26T05:46:58.000+0000,Major,Configuration for IP address (zookeeper.server.ip=) should be introduced and zookeeper server should bind to that particular IP only not to all IPs of the system,Configuration for IP address (zookeeper.server.ip=) should be introduced and zookeeper server should bind to that particular IP only not to all IPs of the system. As of now zookeeper is binding to 0.0,rakeshsingh,rakeshsingh
ZOOKEEPER-2533,ZooKeeper,2016-08-25T09:16:18.000+0000,Minor,"Close the zkCli using ""close"" command and then connect using ""connect"" then provide some invalid input, it closing the channel and connecting again","Close the zkCli using ""close"" command and then connect using ""connect"" then provide some invalid input, it closing the channel and connecting againSteps to reproduce:-1. Connect the Zookeeper server u",rakeshsingh,rakeshsingh
ZOOKEEPER-2532,ZooKeeper,2016-08-25T09:11:01.000+0000,Minor,zkCli throwing nullpointerException instead it should provide help when invalid input is entered,1. a) Connect to zookeeper using zkCli b) just input space and then hit enter2. a) Connect to zookeeper using zkCli and hit enter it will come as connected  b) just input space and then hit enterConso,rakeshsingh,rakeshsingh
ZOOKEEPER-2531,ZooKeeper,2016-08-25T06:58:44.000+0000,Major,"Configuration as ""zookeeper.secure=true/false"" can be introduced and reading and verifying all ssl related configuration (like secureport, keystore, truststore, corresponding password) should be done only when ""zookeeper.secure"" flag is true","Configuration as ""zookeeper.secure=true/false"" can be introduced and reading and verifying all ssl related configuration (like secureport, keystore, truststore, corresponding password) should be done ",rakeshsingh,rakeshsingh
ZOOKEEPER-2530,ZooKeeper,2016-08-25T06:40:12.000+0000,Major,"When zookeeper started in SSL mode, set a ""get"" watcher on a znode from zkCli client, restart the zkCli, the ""Data"" watcher still present. Trying removing that watcher fails saying no watcher available","When zookeeper started in SSL mode, set a ""get"" watcher on a znode from zkCli client, restart the zkCli, the ""Data"" watcher still present. Trying removing that watcher fails saying no watcher availabl",rakeshsingh,rakeshsingh
ZOOKEEPER-2529,ZooKeeper,2016-08-25T00:14:47.000+0000,Major,Flaky Test: org.apache.zookeeper.test.NonRecoverableErrorTest.testZooKeeperServiceAvailableOnLeader,This flaky is introduced by ZOOKEEPER-2247 recently.{noformat}Error MessageIOException is expected due to error injected to transaction log commitStacktracejunit.framework.AssertionFailedError: IOExce,hanm,hanm
ZOOKEEPER-2528,ZooKeeper,2016-08-24T20:45:01.000+0000,Critical,ZooKeeper cluster can become unavailable due to power failures,ZooKeeper cluster can become unavailable if power failures happen at certain specific points in time. Details:I am running a three-node ZooKeeper cluster. I perform a simple update from a client machi,ramanala,ramanala
ZOOKEEPER-2527,ZooKeeper,2016-08-24T11:34:52.000+0000,Major,Connection watch is not getting cleared when watch is created as part of get and it is fired as part of set and client is closed,Connection watch is not getting cleared when watch is created as part of get and it is fired as part of set and client is closedSteps to reproduce:-Configure the Zookeeper in ssl mode and start the sa,rakeshsingh,rakeshsingh
ZOOKEEPER-2526,ZooKeeper,2016-08-24T04:46:03.000+0000,Minor,Add config flag to prohibit connections from clients that don't do Sasl auth,"According to ZOOKEEPER-1736 the flag allowSaslFailedClient will allow clients whose Sasl auth has failed the same privileges as a client that does not attempt Sasl, i.e., anonymous login.It would be n",irfanhamid,irfanhamid
ZOOKEEPER-2525,ZooKeeper,2016-08-23T09:36:56.000+0000,Minor,Throwing Exception at zookeeper server side whenever client is closing the connection,"Throwing Exception at zookeeper server side whenever client is closing the connection2016-08-17 20:38:09,030 [myid:] - WARN [New I/O worker #4:ClientCnxnSocketNetty$ZKClientHandler@432] - Exception ca",rakeshsingh,rakeshsingh
ZOOKEEPER-2524,ZooKeeper,2016-08-23T09:35:26.000+0000,Major,"Start zkServer in ssl mode, start zkCli in non-ssl mode but on ssl port then try to quit at client, it takes almost 30 seconds to quit ","Start zkServer in ssl mode, start zkCli in non-ssl mode but on ssl port then try to quit at client, it takes almost 30 seconds to quit.Steps to reproduce:-Configure the details required for SSL in zkS",rakeshsingh,rakeshsingh
ZOOKEEPER-2523,ZooKeeper,2016-08-23T09:33:35.000+0000,Minor,No proper logging when zookeeper failed to start in ssl mode.,"Scenario1 :-Configure zookeeper for all but configure wrong ssl passwordStart the zookeeper server, it starts fine. No logs that zookeeper is not started in ssl mode though it has not started in ssl m",rakeshsingh,rakeshsingh
ZOOKEEPER-2522,ZooKeeper,2016-08-23T09:12:32.000+0000,Minor,"Need to document that default ""secureClientPort"" for Client will be 2181 and not ""clientPort"" when starting in SSL enable mode",By default we configure the clientPort as 2181 in zookeeper and secureClientPort as 3181 in SSL enable zookeeper. But when start the corresponding client (which is in ssl enabled mode) fails to connec,rakeshsingh,rakeshsingh
ZOOKEEPER-2521,ZooKeeper,2016-08-23T06:49:47.000+0000,Minor,space should be truncated while reading password for keystore/truststore which is required to configure while SSL enabled,"space should be truncated while reading password for keystore/truststore which is required to configure while SSL enabled.As of now if we configure the password with any heading/trailing space, the zo",rakeshsingh,rakeshsingh
ZOOKEEPER-2520,ZooKeeper,2016-08-23T06:44:34.000+0000,Major,Zookeeper should accept and handle encrypted password (AES) which is required to be passed for keystore and truststore in case of SSL support,When enable SSL support we need to configure the keystore and truststore details and corresponding password in zkEnv.sh/bat file. Currenlty we can only pass plain password which is not accepted becaus,rakeshsingh,rakeshsingh
ZOOKEEPER-2519,ZooKeeper,2016-08-22T12:45:36.000+0000,Major,zh->state should not be 0 while handle is active,"0 does not correspond to any of the defined states for the zookeeper handle, so a client should not expect to see this value. But in the function {{handle_error}}, we set {{zh->state = 0}}, which a cl",agrasso,agrasso
ZOOKEEPER-2518,ZooKeeper,2016-08-20T00:14:35.000+0000,Minor,Document how to set up tool chains for build and test C client on all platforms,Add documentations on how to set up ZooKeeper development environment for C client for all platforms. ,hanm,hanm
ZOOKEEPER-2517,ZooKeeper,2016-08-18T23:41:52.000+0000,Blocker,jute.maxbuffer is ignored,"In ClientCnxnSocket.java the parsing of the system property is erroneous:{code}packetLen = Integer.getInteger(  clientConfig.getProperty(ZKConfig.JUTE_MAXBUFFER),  ZKClientConfig.CLIENT_MAX_PACKET_LEN",benjamin.jaton,benjamin.jaton
ZOOKEEPER-2516,ZooKeeper,2016-08-17T18:43:54.000+0000,Minor,C client calculates invalid time interval for pings et al,"The C-client has a function called {{calculate_interval()}} in {{zookeeper.c}}, whose purpose is to determine the number of milliseconds difference between a start and end time. Unfortunately its logi",Hadriel,Hadriel
ZOOKEEPER-2515,ZooKeeper,2016-08-17T16:34:52.000+0000,Major,SessionTrackerImpl non-daemon thread slow to shutdown,"While calling SessionTrackerImpl#shutdown does result in the thread eventually stopping, it takes up to expirationInterval (3 seconds, by default) for the thread to finally die.Since the thread is not",paulmillar,paulmillar
ZOOKEEPER-2514,ZooKeeper,2016-08-16T21:44:35.000+0000,Critical,Simplify releasenotes creation for 3.4 branch - consistent with newer branches.,"ZOOKEEPER-2364 introduced a new process for creating release notes for 3.5 and later branches. Backport this to 3.4 branch in order to make the release manager's life easier (and be consisten with ""ho",phunt,phunt
ZOOKEEPER-2513,ZooKeeper,2016-08-14T00:46:35.000+0000,Critical,majorChange exceptions during leader sync,"In Learner.java there are exceptions being thrown in case majorChange = true, i.e., a reconfig is encountered in the stream of updates from the leader. There may be two problems in the way such except",shralex,shralex
ZOOKEEPER-2512,ZooKeeper,2016-08-12T18:27:04.000+0000,Major,Allow Jetty dependency to use HTTPS and Basic Auth,If ZOOKEEPER-2489 gets committed then it would be nice to allow more flexible configuration of https and basic authentication to JettyAdminServer.,eribeiro,eribeiro
ZOOKEEPER-2511,ZooKeeper,2016-08-11T21:31:05.000+0000,Major,Implement AutoCloseable in ZooKeeper.java,As a java developer I would like to be able to use try-with-resource blocks with ZooKeeper objects in order to make closing sessions easier.,abrahamfine,abrahamfine
ZOOKEEPER-2510,ZooKeeper,2016-08-10T23:50:38.000+0000,Major,org.apache.zookeeper.server.NettyServerCnxnTest uses wrong import for junit,junit.framework.Assert is deprecated. The code should use org.junit.Assert instead.Patch coming shortly.,tdunning,tdunning
ZOOKEEPER-2509,ZooKeeper,2016-08-10T04:55:36.000+0000,Major,Secure mode leaks memory,The Netty connection handling logic fails to clean up watches on connection close. This causes memory to leak.I will have a repro script available soon and a fix. I am not sure how to build a unit tes,tdunning,tdunning
ZOOKEEPER-2508,ZooKeeper,2016-08-09T13:40:00.000+0000,Major,Many ZooKeeper tests are flaky because they proceed with zk operation without connecting to ZooKeeper server.,Many ZooKeeper tests are flaky because they proceed with zk operation without connecting to ZooKeeper server.Recently in our build {{org.apache.zookeeper.server.ZooKeeperServerMainTest.testStandalone(,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2507,ZooKeeper,2016-08-08T20:28:31.000+0000,Minor,C unit test improvement: line break between 'ZooKeeper server started' and 'Running',"Currently we have this on C unit test output:{noformat}ZooKeeper server startedRunning......OK{noformat}This is because the zkServer.sh, when eco 'ZooKeeper server started', does not put a line break ",hanm,hanm
ZOOKEEPER-2506,ZooKeeper,2016-08-06T20:11:09.000+0000,Minor,Document use of read-only mode,It would be a good addition to the documentation a simple example of how to code an application to use read-only mode.,fpj,fpj
ZOOKEEPER-2505,ZooKeeper,2016-08-06T00:05:11.000+0000,Minor,Use shared library instead of static library in C client unit test,"Currently we are statically linking c unit tests to ZK client library - we should use shared library instead as there seems no particular reason to stick to static library, plus one benefit of using s",hanm,hanm
ZOOKEEPER-2504,ZooKeeper,2016-08-05T22:48:31.000+0000,Major,Enforce that server ids are unique in a cluster,"The leader will happily accept connections from learners that have the same server id (i.e., due to misconfiguration). This can lead to various issues including non-unique session_ids being generated ",dbenediktson,dbenediktson
ZOOKEEPER-2503,ZooKeeper,2016-08-05T16:01:00.000+0000,Major,Inconsistency between myid documentation and implementation,"In ZK documentation, we have:""The myid file consists of a single line containing only the text of that machine's id. So myid of server 1 would contain the text ""1"" and nothing else. The id must be uni",hanm,hanm
ZOOKEEPER-2502,ZooKeeper,2016-08-05T15:45:44.000+0000,Major,Flaky Test: org.apache.zookeeper.server.quorum.CnxManagerTest.testCnxFromFutureVersion,"{noformat}Error MessageBroken pipeStacktracejava.io.IOException: Broken pipe	at sun.nio.ch.FileDispatcherImpl.write0(Native Method)	at sun.nio.ch.SocketDispatcher.write(SocketDispatcher.java:47)	at su",hanm,hanm
ZOOKEEPER-2501,ZooKeeper,2016-08-04T18:43:55.000+0000,Minor,Improve ZooKeeperServerListenerImpl#notifyStopping() logging,"This jira is to address [~fpj]'s comment.{code}ZooKeeperCriticalThread#handleException() logs an error message including a throwable. Again, in ZooKeeperServerListenerImpl#notifyStopping(), it logs an",rakeshr,rakeshr
ZOOKEEPER-2500,ZooKeeper,2016-08-03T15:39:05.000+0000,Major,Fix compilation warnings for CliException classes,,abrahamfine,abrahamfine
ZOOKEEPER-2499,ZooKeeper,2016-08-03T05:44:19.000+0000,Major,Flaky Test: org.apache.zookeeper.test.SSLTest.testSecureQuorumServer ,"{noformat}Error Messagewaiting for server 0 being upStacktracejunit.framework.AssertionFailedError: waiting for server 0 being up	at org.apache.zookeeper.test.SSLTest.testSecureQuorumServer(SSLTest.ja",hanm,hanm
ZOOKEEPER-2498,ZooKeeper,2016-08-03T05:01:14.000+0000,Major,Potential resource leak in C client when processing unexpected / out of order response,"In C client, we use reference counting to decide if a given zh handle can be destroyed or not. This requires we always make sure to call api_prolog (which increment the counter) and api_epilog (which ",hanm,hanm
ZOOKEEPER-2497,ZooKeeper,2016-08-02T15:27:24.000+0000,Major,Flaky Test: org.apache.zookeeper.test.QuorumTest.testMultipleWatcherObjs,Example:https://builds.apache.org/job/ZooKeeper-trunk-jdk8/607/https://builds.apache.org/job/ZooKeeper_branch35_jdk8/127/Note I haven't found any of the Jenkins JDK7 build fail with same error message,hanm,hanm
ZOOKEEPER-2496,ZooKeeper,2016-08-01T07:52:39.000+0000,Major,"When inside a transaction, some exceptions do not have path information set.","If a client tries to execute some illegal operations inside a transaction, ZooKeeper throws an exception.Some exceptions such as NodeExistsException should have a path to indicate where the exception ",kazuakibanzai,kazuakibanzai
ZOOKEEPER-2495,ZooKeeper,2016-07-31T20:51:46.000+0000,Major,"Cluster unavailable on disk full(ENOSPC), disk quota(EDQUOT), disk write error(EIO) errors","ZooKeeper cluster completely stalls with *no* transactions making progress when a storage related error (such as *ENOSPC, EDQUOT, EIO*) is encountered by the current *leader*. Surprisingly, the same e",ramanala,ramanala
ZOOKEEPER-2494,ZooKeeper,2016-07-28T19:35:27.000+0000,Major,"reword documentation to say ""a simple shell to execute file-like operations"" instead of ""a shell in which to execute simple file-system-like operations""",[~rakeshr] mades this suggestion in ZOOKEEPER-2477 and I thought this was worth implementing in its own jira,abrahamfine,abrahamfine
ZOOKEEPER-2493,ZooKeeper,2016-07-28T17:34:04.000+0000,Major,Flaky Tests: ReconfigTest fails on Solaris ,Two tests related to ReconfigTest fail consistently on Solaris:org.apache.zookeeper.test.ReconfigTest.testPortChangeToBlockedPortLeaderorg.apache.zookeeper.test.ReconfigTest.testPortChangeToBlockedPor,hanm,hanm
ZOOKEEPER-2492,ZooKeeper,2016-07-28T02:09:40.000+0000,Trivial,gethostname return error before Win32WSAStartup on windows.,"gethostname return error before Win32WSAStartup on windows.in log_env function.gethostname(buf, sizeof(buf));LOG_INFO(LOGCALLBACK(zh), ""Client environment:host.name=%s"", buf);buf will be uninitialized",spooky000,spooky000
ZOOKEEPER-2491,ZooKeeper,2016-07-28T01:59:14.000+0000,Minor,C client build error in vs 2015 ,Visual Studio 2015  supports snprintf.#define snprintf _snprintf throw error.,spooky000,spooky000
ZOOKEEPER-2490,ZooKeeper,2016-07-27T06:17:10.000+0000,Major,infinitely connect on windows,"in addrvec_contains functionthis memcmp always return false on windows release build.for (i = 0; i < avec->count; i++){    if(memcmp(&avec->data[i], addr, INET_ADDRSTRLEN) == 0)        return 1;}becau",spooky000,spooky000
ZOOKEEPER-2489,ZooKeeper,2016-07-26T20:54:32.000+0000,Major,Upgrade Jetty dependency to a recent stable release version.,"Jetty was added as one of dependencies in ZOOKEEPER-1346 in 2011, and have not been updated since then. The version we are using in trunk is 6.1.26 which was released in 2010. We should consider upgra",hanm,hanm
ZOOKEEPER-2488,ZooKeeper,2016-07-25T23:05:44.000+0000,Major,Unsynchronized access to shuttingDownLE in QuorumPeer,Access to shuttingDownLE in QuorumPeer is not synchronized here:https://github.com/apache/zookeeper/blob/3c37184e83a3e68b73544cebccf9388eea26f523/src/java/main/org/apache/zookeeper/server/quorum/Quoru,hanm,hanm
ZOOKEEPER-2487,ZooKeeper,2016-07-25T17:06:19.000+0000,Major,Test failed because of 'Forked Java VM exited abnormally.',Sometimes tests fail with error message like this:Error Message:Forked Java VM exited abnormally. Please note the time in the report does not reflect the time until the VM exit.Stack Trace:junit.frame,hanm,hanm
ZOOKEEPER-2486,ZooKeeper,2016-07-21T22:44:02.000+0000,Major,Flaky Test: org.apache.zookeeper.test.QuorumZxidSyncTest.testBehindLeader,"From https://builds.apache.org/job/ZooKeeper_branch34_jdk7/1156{noformat}Error Messagewaiting for server upStacktracejunit.framework.AssertionFailedError: waiting for server up	at org.apache.zookeeper",hanm,hanm
ZOOKEEPER-2485,ZooKeeper,2016-07-21T22:40:51.000+0000,Major,Flaky Test: org.apache.zookeeper.test.FourLetterWordsTest.testFourLetterWords,"From https://builds.apache.org/job/ZooKeeper_branch34_jdk7/1156/{noformat}Error Messagetest timed out after 30000 millisecondsStacktracejava.lang.Exception: test timed out after 30000 milliseconds	at ",hanm,hanm
ZOOKEEPER-2484,ZooKeeper,2016-07-21T21:55:21.000+0000,Major,Flaky Test: org.apache.zookeeper.test.LoadFromLogTest.testLoadFailure,From https://builds.apache.org/job/ZooKeeper-trunk-openjdk7/1098/{noformat}Error MessageKeeperErrorCode = ConnectionLoss for /data-Stacktraceorg.apache.zookeeper.KeeperException$ConnectionLossExceptio,hanm,hanm
ZOOKEEPER-2483,ZooKeeper,2016-07-21T21:45:32.000+0000,Major,Flaky Test: org.apache.zookeeper.test.LETest.testLE,"From https://builds.apache.org/job/ZooKeeper_branch34/1587/{noformat}Error MessageThreads didn't joinStacktracejunit.framework.AssertionFailedError: Threads didn't join	at org.apache.zookeeper.test.LE",hanm,hanm
ZOOKEEPER-2482,ZooKeeper,2016-07-21T21:40:32.000+0000,Major,Flaky Test: org.apache.zookeeper.test.ClientPortBindTest.testBindByAddress,"From https://builds.apache.org/job/ZooKeeper_branch34/1587/{noformat}Error MessageNo such deviceStacktracejava.net.SocketException: No such device	at java.net.NetworkInterface.isLoopback0(Native Metho",hanm,hanm
ZOOKEEPER-2481,ZooKeeper,2016-07-21T21:33:21.000+0000,Major,Flaky Test: testZeroWeightQuorum,"See https://builds.apache.org/job/ZooKeeper-trunk-openjdk7/1098/{noformat}Error MessageThreads didn't joinStacktracejunit.framework.AssertionFailedError: Threads didn't join	at org.apache.zookeeper.te",hanm,hanm
ZOOKEEPER-2480,ZooKeeper,2016-07-19T11:11:39.000+0000,Minor,"Exhibitor and zookeeper, Cannot open channel to x at election address",We have 5 node ensemble setup in our tst environment and we are seeing the error below on two of the nodes. We have 3 nodes on the first data centre and 2 nodes on the second data centre and all of th,keremyzc,keremyzc
ZOOKEEPER-2479,ZooKeeper,2016-07-19T05:01:33.000+0000,Major,Add 'electionTimeTaken' value in LeaderMXBean and FollowerMXBean,"The idea of this jira is to expose {{time taken}} for the leader election via jmx Leader, Follower beans.",rakeshr,rakeshr
ZOOKEEPER-2478,ZooKeeper,2016-07-19T01:12:01.000+0000,Trivial,Duplicate 'the' on Zab in words Wiki page,There's a duplicate 'the' on the Zookeeper wikiZab in wordsPhase 1: Establish an epoch4.1,Aggress,Aggress
ZOOKEEPER-2477,ZooKeeper,2016-07-17T17:09:30.000+0000,Major,documentation should refer to Java cli shell and not C cli shell,"The documentation tends to refer to the c cli shell when citing examples of how to interact with ZK, rather than using the Java cli shell. Given the Java cli is much better maintained and more feature",phunt,phunt
ZOOKEEPER-2476,ZooKeeper,2016-07-16T00:25:52.000+0000,Critical,Not possible to upgrade via reconfig a Participant+Observer cluster to a Participant+Participant cluster,"Contrary to the documentation, it is not possible to upgrade via reconfig a Participant+Observer cluster to a Participant+Participant cluster. KeeperException.NewConfigNoQuorum is thrown instead.PrepR",randgalt,randgalt
ZOOKEEPER-2475,ZooKeeper,2016-07-14T14:06:05.000+0000,Major,Include ZKClientConfig API in zoookeeper javadoc,"Generate zookeeper api doc using {{ant javadoc}} commandopen build/docs/api/index.html, ZKClientConfig is not present",arshad.mohammad,arshad.mohammad
ZOOKEEPER-2474,ZooKeeper,2016-07-14T12:52:16.000+0000,Critical,No way to reattach to a session when using ZKClientConfig,"The new constructors for ZooKeeper instances take a ZKClientConfig, which is great, however there is no way to reattach to an existing session.New constructors should be added to allow passing a sessi",timothyjward,timothyjward
ZOOKEEPER-2473,ZooKeeper,2016-07-11T17:28:23.000+0000,Minor,ZooInspector support for read-only mode,,benjamin.jaton,benjamin.jaton
ZOOKEEPER-2472,ZooKeeper,2016-07-11T02:31:51.000+0000,Minor,ServerConfig#parse(String[]) parse params has problems,"When debug zookeeper, run ZooKeeperServerMain then pass 4 args, e.g: 2181 F:\\zk\\data 2000 30, that is:clientPort = 2181dataDir = F:\\zk\\datatickTime = 2000maxClientCnxns = 30But ServerConfig#parse(",ykgarfield,ykgarfield
ZOOKEEPER-2471,ZooKeeper,2016-07-08T15:52:07.000+0000,Major,"Java Zookeeper Client incorrectly considers time spent sleeping as time spent connecting, potentially resulting in infinite reconnect loop","ClientCnxnSocket uses a member variable ""now"" to track the current time, and lastSend / lastHeard variables to track socket liveness. Implementations, and even ClientCnxn itself, are expected to call ",dbenediktson,dbenediktson
ZOOKEEPER-2470,ZooKeeper,2016-07-08T04:59:48.000+0000,Trivial,ServerConfig#parse(String[])  ignores tickTime,Based on bug report from ykgarfield:ServerConfig#parse(String[]) method has the following code:    public void parse(String[] args) {        ...        if (args.length == 3) {                tickTime ,shralex,shralex
ZOOKEEPER-2469,ZooKeeper,2016-07-08T00:55:19.000+0000,Major,infinite loop in ZK re-login,{noformat}                        int retry = 1;                        while (retry >= 0) {                            try {                                reLogin();                                b,sershe,sershe
ZOOKEEPER-2468,ZooKeeper,2016-07-07T05:34:42.000+0000,Major,SetQuota and DelQuota,"Setquota and delquota commands does not work Steps to reproduce:1. Create Test Node 1    create -c /TestZookeeperNodeNumber ""testdata""2. Create Test Node 2    create -c /TestZookeeperNodeBytes ""testda",joshi.shankar,joshi.shankar
ZOOKEEPER-2467,ZooKeeper,2016-07-07T02:51:02.000+0000,Minor,NullPointerException when redo Command is passed negative value,"When negative value of argument is passed to redo command .[zk: localhost:2181(CONNECTED) 0] redo -1Exception in thread ""main"" java.lang.NullPointerException        at java.util.StringTokenizer.<init>",joshi.shankar,joshi.shankar
ZOOKEEPER-2466,ZooKeeper,2016-07-05T21:04:28.000+0000,Critical,Client skips servers when trying to connect,"I've been looking at {{Zookeeper_simpleSystem::testFirstServerDown}} and I observed the following behavior. The list of servers to connect contains two servers, let's call them S1 and S2. The client n",fpj,fpj
ZOOKEEPER-2465,ZooKeeper,2016-07-05T17:38:03.000+0000,Blocker,Documentation copyright notice is out of date.,"As reported by [~eribeiro], all of the documentation pages show a copyright notice dating ""2008-2013"".  This issue tracks updating the copyright notice on all documentation pages to show the current y",cnauroth,cnauroth
ZOOKEEPER-2464,ZooKeeper,2016-07-04T22:21:01.000+0000,Major,NullPointerException on ContainerManager,I would like to expose you to a problem that we are experiencing.We are using a cluster of 7 zookeeper and we use them to implement a distributed lock using Curator (http://curator.apache.org/curator-,ssalmaso,ssalmaso
ZOOKEEPER-2463,ZooKeeper,2016-07-03T15:38:17.000+0000,Blocker,TestMulti is broken in the C client,I noticed that all multi tests seem to be timing out and they are failing silently. This is the output that I'm observing:{noformat}Zookeeper_multi::testCreate : assertion : elapsed 10001Zookeeper_mul,fpj,fpj
ZOOKEEPER-2462,ZooKeeper,2016-07-01T14:50:01.000+0000,Minor,force authentication/authorization,This change introduces two new config options to force authorization and authentication:1. disableWorldACLThe purpose of this option is disable the builtin mechanism which authorizes everyone.If it is,botond.hejj,botond.hejj
ZOOKEEPER-2461,ZooKeeper,2016-06-30T17:59:33.000+0000,Major,There is no difference between the observer and the participants in the leader election algorithm,"We have observed a case that when a leader machine crashes hard, non-voting learners take a long time to detect the new leader. After looking at the details more carefully, we identified one potential",nerdyyatrice,nerdyyatrice
ZOOKEEPER-2460,ZooKeeper,2016-06-30T07:39:13.000+0000,Critical,Remove javacc dependency from public Maven pom,during the vote of 3.5.2-ALPHA RC 0 we found a Maven dependency to javacc in published pom for zookeeper{code}<dependency><groupId>net.java.dev.javacc</groupId><artifactId>javacc</artifactId><version>,eolivelli,eolivelli
ZOOKEEPER-2459,ZooKeeper,2016-06-29T22:43:50.000+0000,Blocker,Update NOTICE file with Netty notice,"Bubbling up the Netty notice. According to the ALv2 item 4, we need to include it in our top notice, it isn't sufficient to have it in the bundle. ",fpj,fpj
